id	type	blob
Chapter5/Definition5.1.1	definition	blobs/Chapter5/Definition5.1.1.md
Chapter5/Definition5.1.4	definition	blobs/Chapter5/Definition5.1.4.md
Chapter5/Theorem5.1.5	theorem	blobs/Chapter5/Theorem5.1.5.md
Chapter5/Corollary5.1.6	corollary	blobs/Chapter5/Corollary5.1.6.md
Chapter5/Definition5.2.1	definition	blobs/Chapter5/Definition5.2.1.md
Chapter5/Definition5.2.2	definition	blobs/Chapter5/Definition5.2.2.md
Chapter5/Proposition5.2.3	proposition	blobs/Chapter5/Proposition5.2.3.md
Chapter5/Proposition5.2.4	proposition	blobs/Chapter5/Proposition5.2.4.md
Chapter5/Proposition5.2.5	proposition	blobs/Chapter5/Proposition5.2.5.md
Chapter5/Lemma5.2.6	lemma	blobs/Chapter5/Lemma5.2.6.md
Chapter5/Remark5.2.8	remark	blobs/Chapter5/Remark5.2.8.md
Chapter5/Theorem5.3.1	theorem	blobs/Chapter5/Theorem5.3.1.md
Chapter5/Proposition5.3.2	proposition	blobs/Chapter5/Proposition5.3.2.md
Chapter5/Definition5.4.1	definition	blobs/Chapter5/Definition5.4.1.md
Chapter5/Remark5.4.2	remark	blobs/Chapter5/Remark5.4.2.md
Chapter5/Theorem5.4.3	theorem	blobs/Chapter5/Theorem5.4.3.md
Chapter5/Theorem5.4.4	theorem	blobs/Chapter5/Theorem5.4.4.md
Chapter5/Lemma5.4.5	lemma	blobs/Chapter5/Lemma5.4.5.md
Chapter5/Theorem5.4.6	theorem	blobs/Chapter5/Theorem5.4.6.md
Chapter5/Lemma5.4.7	lemma	blobs/Chapter5/Lemma5.4.7.md
Chapter5/Theorem5.6.1	theorem	blobs/Chapter5/Theorem5.6.1.md
Chapter5/Definition5.7.1	definition	blobs/Chapter5/Definition5.7.1.md
Chapter5/Lemma5.7.2	lemma	blobs/Chapter5/Lemma5.7.2.md
Chapter5/Definition5.8.1	definition	blobs/Chapter5/Definition5.8.1.md
Chapter5/Remark5.8.2	remark	blobs/Chapter5/Remark5.8.2.md
Chapter5/Remark5.8.3	remark	blobs/Chapter5/Remark5.8.3.md
Chapter5/Remark5.9.2	remark	blobs/Chapter5/Remark5.9.2.md
Chapter5/Theorem5.10.1	theorem	blobs/Chapter5/Theorem5.10.1.md
Chapter5/Definition5.12.1	definition	blobs/Chapter5/Definition5.12.1.md
Chapter5/Theorem5.12.2	theorem	blobs/Chapter5/Theorem5.12.2.md
Chapter5/Example5.12.3	example	blobs/Chapter5/Example5.12.3.md
Chapter5/Corollary5.12.4	corollary	blobs/Chapter5/Corollary5.12.4.md
Chapter5/Lemma5.13.1	lemma	blobs/Chapter5/Lemma5.13.1.md
