id	type	blob
Chapter6/Definition6.1.4	definition	blobs/Chapter6/Definition6.1.4.md
Chapter6/Theorem_Dynkin_classification	theorem	blobs/Chapter6/Theorem_Dynkin_classification.md
Chapter6/Problem6.1.5_theorem	theorem	blobs/Chapter6/Problem6.1.5_theorem.md
Chapter6/Remark6.2.1	remark	blobs/Chapter6/Remark6.2.1.md
Chapter6/Example6.2.2	example	blobs/Chapter6/Example6.2.2.md
Chapter6/Example6.2.3	example	blobs/Chapter6/Example6.2.3.md
Chapter6/Example6.2.4	example	blobs/Chapter6/Example6.2.4.md
Chapter6/Example6.3.1	example	blobs/Chapter6/Example6.3.1.md
Chapter6/Definition6.4.1	definition	blobs/Chapter6/Definition6.4.1.md
Chapter6/Lemma6.4.2	lemma	blobs/Chapter6/Lemma6.4.2.md
Chapter6/Definition6.4.3	definition	blobs/Chapter6/Definition6.4.3.md
Chapter6/Remark6.4.4	remark	blobs/Chapter6/Remark6.4.4.md
Chapter6/Definition6.4.5	definition	blobs/Chapter6/Definition6.4.5.md
Chapter6/Lemma6.4.6	lemma	blobs/Chapter6/Lemma6.4.6.md
Chapter6/Definition6.4.7	definition	blobs/Chapter6/Definition6.4.7.md
Chapter6/Remark6.4.8	remark	blobs/Chapter6/Remark6.4.8.md
Chapter6/Example6.4.9	example	blobs/Chapter6/Example6.4.9.md
Chapter6/Definition6.4.10	definition	blobs/Chapter6/Definition6.4.10.md
Chapter6/Remark6.4.11	remark	blobs/Chapter6/Remark6.4.11.md
Chapter6/Definition6.5.1	definition	blobs/Chapter6/Definition6.5.1.md
Chapter6/Theorem6.5.2	theorem	blobs/Chapter6/Theorem6.5.2.md
Chapter6/Definition6.6.1	definition	blobs/Chapter6/Definition6.6.1.md
Chapter6/Definition6.6.2	definition	blobs/Chapter6/Definition6.6.2.md
Chapter6/Definition6.6.3	definition	blobs/Chapter6/Definition6.6.3.md
Chapter6/Definition6.6.4	definition	blobs/Chapter6/Definition6.6.4.md
Chapter6/Proposition6.6.5	proposition	blobs/Chapter6/Proposition6.6.5.md
Chapter6/Proposition6.6.6	proposition	blobs/Chapter6/Proposition6.6.6.md
Chapter6/Proposition6.6.7	proposition	blobs/Chapter6/Proposition6.6.7.md
Chapter6/Proposition6.6.8	proposition	blobs/Chapter6/Proposition6.6.8.md
Chapter6/Definition6.7.1	definition	blobs/Chapter6/Definition6.7.1.md
Chapter6/Lemma6.7.2	lemma	blobs/Chapter6/Lemma6.7.2.md
Chapter6/Theorem6.8.1	theorem	blobs/Chapter6/Theorem6.8.1.md
Chapter6/Corollary6.8.2	corollary	blobs/Chapter6/Corollary6.8.2.md
Chapter6/Corollary6.8.3	corollary	blobs/Chapter6/Corollary6.8.3.md
Chapter6/Corollary6.8.4	corollary	blobs/Chapter6/Corollary6.8.4.md
Chapter6/Example6.8.5	example	blobs/Chapter6/Example6.8.5.md
